X6_FIL;X6_VAR;X6_TIPO;X6_DESCRIC;X6_DSCSPA;X6_DSCENG;X6_DESC1;X6_DSCSPA1;X6_DSCENG1;X6_DESC2;X6_DSCSPA2;X6_DSCENG2;X6_CONTEUD;X6_CONTSPA;X6_CONTENG;X6_PROPRI;X6_VALID;X6_INIT;X6_DEFPOR;X6_DEFSPA;X6_DEFENG
;MV_XINCSLI;L;Inclui SLI para replicar no PDV;;;;;;;;;.T.;.T.;.T.;U;;;;;
;MV_XSRVPDV;L;Servidor PDV? (.T. - Sim / .F. - Nao);;;;;;;;;.T.;.T.;.T.;U;;;;;
