X7_CAMPO;X7_SEQUENC;X7_REGRA;X7_CDOMIN;X7_TIPO;X7_SEEK;X7_ALIAS;X7_ORDEM;X7_CHAVE;X7_CONDIC;X7_PROPRI
U59_PRODUT;002;SB1->B1_UM;U59_UM;P;S;SB1;1;XFILIAL('SB1')+U59_PRODUT;;U
U68_VEND;001;POSICIONE('SA3',1,XFILIAL('SA3')+M->U68_VEND,'A3_NOME');U68_NOME;P;N;;0;;;U
U68_CONCEN;001;Posicione('MHX',1,xFilial('MHX')+M->U68_CONCEN,'MHX_MODELO');U68_MODELO;P;N;;0;;;U
U88_FORMAP;501;SX5->X5_DESCRI;U88_DESCRI;P;S;SX5;1;XFILIAL('SX5')+'24'+M->U88_FORMAP;;U
U88_CLIENT;001;SA1->A1_NOME;U88_NOME;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;002;SA1->A1_COD;U88_CLICOB;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;003;SA1->A1_LOJA;U88_LOJCOB;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;004;SA1->A1_NOME;U88_NOMCOB;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;005;SA1->A1_NOME;U88_NOME;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;006;SA1->A1_END;U88_END;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;007;SA1->A1_COMPLEM;U88_COMPLE;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;008;SA1->A1_BAIRRO;U88_BAIRRO;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;009;SA1->A1_EST;U88_EST;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;010;SA1->A1_MUN;U88_MUN;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;011;SA1->A1_CEP;U88_CEP;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;012;SA1->A1_INSCR;U88_INSCR;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;013;SA1->A1_CGC;U88_CGC;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLIENT;014;SA1->A1_TEL;U88_TEL;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLIENT+M->U88_LOJA;;U
U88_CLICOB;001;SA1->A1_NOME;U88_NOMCOB;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLICOB+M->U88_LOJCOB;;U
U88_LOJCOB;001;SA1->A1_NOME;U88_NOMCOB;P;S;SA1;1;XFILIAL('SA1')+M->U88_CLICOB+M->U88_LOJCOB;;U
U92_CODCLI;001;Space(TamSX3('U92_GRPCLI')[1]);U92_GRPCLI;P;N;;0;;;U
U92_CODCLI;002;Space(TamSX3('U92_DESCGR')[1]);U92_DESCGR;P;N;;0;;;U
U92_CODCLI;003;posicione('SA1',1,xFilial('SA1')+M->U92_CODCLI+M->U92_LOJACL,'A1_NREDUZ');U92_NOMCLI;P;N;;0;;;U
U92_LOJACL;001;posicione('SA1',1,xFilial('SA1')+M->U92_CODCLI+M->U92_LOJACL,'A1_NREDUZ');U92_NOMCLI;P;N;;0;;;U
U92_GRPCLI;001;Space(TamSX3('U92_CODCLI')[1]);U92_CODCLI;P;N;;0;;;U
U92_GRPCLI;002;Space(TamSX3('U92_LOJACL')[1]);U92_LOJACL;P;N;;0;;;U
U92_GRPCLI;003;Space(TamSX3('U92_NOMCLI')[1]);U92_NOMCLI;P;N;;0;;;U
U92_GRPCLI;004;posicione('ACY',1,xFilial('ACY')+M->U92_GRPCLI,'ACY_DESCRI');U92_DESCGR;P;S;ACY;1;xFilial('ACY')+M->U92_GRPCLI;;U
