X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_AGRUP
MIF;06;MIF_HRSUB;C;5;0;Hora Manuten;Tiempo Mante;Mainten Time;Hora de Manutenção;Tiempo de Mantenimiento;Maintenance Time;@! 99:99;VALHORA(M->MIF_HRSUB);x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxxxx x;;S;S;S;A;R;;;;;;;;;;;S;;;;;;;
MIF;07;MIF_MOTIVO;C;50;0;Motivo Manut;Motivo Mante;Mainten Reas;Motivo de Manutenção;Motivo de Mantenimiento;Maintenance Reason;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxxxx x;;;S;S;A;R;;;;;;;;;;;S;;;;;;;
MIF;08;MIF_CNPJEM;C;18;0;CNPJ Empresa;Empresa CNPJ;Company CNPJ;CNPJ da Empresa;Empresa CNPJ;Company CNPJ;@R 99.999.999/9999-99;Vazio() .Or. CGC(M->MIF_CNPJEM);x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxxxx x;;;S;S;A;R;;;;;;;;;;;S;;;;;;;
MIF;09;MIF_CPFTEC;C;14;0;CPF Prestado;Proveed CPF;Service Prov;CPF do Prestador Serviço;Proveedor Servicios CPF;Service Provider CPF;@R 999.999.999-99;Vazio() .Or. CGC(M->MIF_CPFTEC);x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxxxx x;;;S;S;A;R;;;;;;;;;;;S;;;;;;;
MIF;10;MIF_NOMTEC;C;30;0;Nome Técnico;Nombre Técni;Technic Name;Nome do Técnico;Nombre del Técnico;Technician Name;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxxxx x;;;S;S;A;R;;;;;;;;;;;S;;;;;;;
MIF;11;MIF_LACREM;N;14;0;Lacre Removi;Número Sello;Removed Seal;Número do Lacre Removido;Número de Sello Eliminado;Removed Seal Number;@E 99999999999999;Positivo();x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxxxx x;;;S;S;A;R;;;;;;;;;;;S;;;;;;;
MIF;12;MIF_LACAPL;N;14;0;Lacre Aplica;Número Sello;Applied Seal;Número do Lacre Aplicado;Número de Sello Aplicado;Applied Seal Number;@E 99999999999999;Positivo();x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxxxx x;;;S;S;A;R;;;;;;;;;;;S;;;;;;;
MIF;13;MIF_SITUA;C;2;0;Situacao;Situacion;Status;Situacao do Registro;Situacion de Registro;Record Status;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
MIF;14;MIF_HREXP;C;8;0;Hora Exp;Hora Exp;Hora Exp;Hora da Exportacao;Hora da Exportacao;Hora da Exportacao;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
MIF;15;MIF_MSEXP;C;8;0;Ident.Exp.;Ident.Exp.;Exp. ID;Ident.Exp.Dados;Ident.Exp.Datos;Data Exp. Ident.;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
